translation_id,key,lang_code,text
1,hello,en,Hello
2,hello,zh,你好
3,hello,vi,Xin chào
4,hello,id,Halo
5,good_morning,en,Good morning
6,good_morning,zh,早上好
7,good_morning,vi,Chào buổi sáng
8,good_morning,id,Selamat pagi
9,good_afternoon,en,Good afternoon
10,good_afternoon,zh,下午好
11,good_afternoon,vi,Chào buổi chiều
12,good_afternoon,id,Selamat siang
13,good_evening,en,Good evening
14,good_evening,zh,晚上好
15,good_evening,vi,Chào buổi tối
16,good_evening,id,Selamat malam
17,how_are_you,en,How are you?
18,how_are_you,zh,你好吗？
19,how_are_you,vi,Bạn khỏe không?
20,how_are_you,id,Apa kabar?
21,"i’m_fine,_thank_you",en,"I’m fine, thank you."
22,"i’m_fine,_thank_you",zh,我很好，谢谢
23,"i’m_fine,_thank_you",vi,"Tôi khỏe, cảm ơn"
24,"i’m_fine,_thank_you",id,"Saya baik, terima kasih"
25,what’s_your_name,en,What’s your name?
26,what’s_your_name,zh,你叫什么名字？
27,what’s_your_name,vi,Bạn tên gì?
28,what’s_your_name,id,Siapa nama Anda?
29,my_name_is_,en,My name is …
30,my_name_is_,zh,我的名字是…
31,my_name_is_,vi,Tôi tên là…
32,my_name_is_,id,Nama saya …
33,nice_to_meet_you,en,Nice to meet you
34,nice_to_meet_you,zh,很高兴见到你
35,nice_to_meet_you,vi,Rất vui được gặp bạn
36,nice_to_meet_you,id,Senang bertemu dengan Anda
37,where_are_you_from,en,Where are you from?
38,where_are_you_from,zh,你来自哪里？
39,where_are_you_from,vi,Bạn đến từ đâu?
40,where_are_you_from,id,Anda dari mana?
41,i’m_from_china,en,I’m from China.
42,i’m_from_china,zh,我来自中国
43,i’m_from_china,vi,Tôi đến từ Trung Quốc
44,i’m_from_china,id,Saya dari Tiongkok
45,please,en,Please
46,please,zh,请
47,please,vi,Làm ơn
48,please,id,Tolong
49,thank_you,en,Thank you
50,thank_you,zh,谢谢
51,thank_you,vi,Cảm ơn
52,thank_you,id,Terima kasih
53,you’re_welcome,en,You’re welcome
54,you’re_welcome,zh,不客气
55,you’re_welcome,vi,Không có gì
56,you’re_welcome,id,Sama-sama
57,excuse_me,en,Excuse me
58,excuse_me,zh,打扰一下
59,excuse_me,vi,Xin lỗi
60,excuse_me,id,Permisi
61,sorry,en,Sorry
62,sorry,zh,对不起
63,sorry,vi,Xin lỗi
64,sorry,id,Maaf
65,yes,en,Yes
66,yes,zh,是的
67,yes,vi,Vâng
68,yes,id,Ya
69,no,en,No
70,no,zh,不是
71,no,vi,Không
72,no,id,Tidak
73,do_you_speak_english,en,Do you speak English?
74,do_you_speak_english,zh,你会说英语吗？
75,do_you_speak_english,vi,Bạn có nói tiếng Anh không?
76,do_you_speak_english,id,Apakah Anda bisa berbahasa Inggris?
77,a_little,en,A little
78,a_little,zh,会一点点
79,a_little,vi,Một chút
80,a_little,id,Sedikit
81,can_you_help_me,en,Can you help me?
82,can_you_help_me,zh,你能帮我吗？
83,can_you_help_me,vi,Bạn có thể giúp tôi không?
84,can_you_help_me,id,Bisa tolong saya?
85,where_is_the_toilet,en,Where is the toilet?
86,where_is_the_toilet,zh,厕所在哪里？
87,where_is_the_toilet,vi,Nhà vệ sinh ở đâu?
88,where_is_the_toilet,id,Toilet di mana?
89,i_don’t_understand,en,I don’t understand
90,i_don’t_understand,zh,我不明白
91,i_don’t_understand,vi,Tôi không hiểu
92,i_don’t_understand,id,Saya tidak mengerti
