translationId,key,langCode,text
1,hello,en,Hello
2,hello,zh,你好
3,hello,vi,Xin chào
4,hello,id,Halo
5,good morning,en,Good morning
6,good morning,zh,早上好
7,good morning,vi,Chào buổi sáng
8,good morning,id,Selamat pagi
9,good afternoon,en,Good afternoon
10,good afternoon,zh,下午好
11,good afternoon,vi,Chào buổi chiều
12,good afternoon,id,Selamat siang
13,good evening,en,Good evening
14,good evening,zh,晚上好
15,good evening,vi,Chào buổi tối
16,good evening,id,Selamat malamx
17,how are you,en,How are you?
18,how are you,zh,你好吗？
19,how are you,vi,Bạn khỏe không?
20,how are you,id,Apa kabar?
21,"i’m fine, thank you",en,"I’m fine, thank you."
22,"i’m fine, thank you",zh,我很好，谢谢
23,"i’m fine, thank you",vi,"Tôi khỏe, cảm ơn"
24,"i’m fine, thank you",id,"Saya baik, terima kasih"
25,what’s your name,en,What’s your name?
26,what’s your name,zh,你叫什么名字？
27,what’s your name,vi,Bạn tên gì?
28,what’s your name,id,Siapa nama Anda?
29,my name is ,en,My name is …
30,my name is ,zh,我的名字是…
31,my name is ,vi,Tôi tên là…
32,my name is ,id,Nama saya …
33,nice to meet you,en,Nice to meet you
34,nice to meet you,zh,很高兴见到你
35,nice to meet you,vi,Rất vui được gặp bạn
36,nice to meet you,id,Senang bertemu dengan Anda
37,where are you from,en,Where are you from?
38,where are you from,zh,你来自哪里？
39,where are you from,vi,Bạn đến từ đâu?
40,where are you from,id,Anda dari mana?
41,i’m from china,en,I’m from China.
42,i’m from china,zh,我来自中国
43,i’m from china,vi,Tôi đến từ Trung Quốc
44,i’m from china,id,Saya dari Tiongkok
45,please,en,Please
46,please,zh,请
47,please,vi,Làm ơn
48,please,id,Tolong
49,thank you,en,Thank you
50,thank you,zh,谢谢
51,thank you,vi,Cảm ơn
52,thank you,id,Terima kasih
53,you’re welcome,en,You’re welcome
54,you’re welcome,zh,不客气
55,you’re welcome,vi,Không có gì
56,you’re welcome,id,Sama-sama
57,excuse me,en,Excuse me
58,excuse me,zh,打扰一下
59,excuse me,vi,Xin lỗi
60,excuse me,id,Permisi
61,sorry,en,Sorry
62,sorry,zh,对不起
63,sorry,vi,Xin lỗi
64,sorry,id,Maaf
65,yes,en,Yes
66,yes,zh,是的
67,yes,vi,Vâng
68,yes,id,Ya
69,no,en,No
70,no,zh,不是
71,no,vi,Không
72,no,id,Tidak
73,do you speak english,en,Do you speak English?
74,do you speak english,zh,你会说英语吗？
75,do you speak english,vi,Bạn có nói tiếng Anh không?
76,do you speak english,id,Apakah Anda bisa berbahasa Inggris?
77,a little,en,A little
78,a little,zh,会一点点
79,a little,vi,Một chút
80,a little,id,Sedikit
81,can you help me,en,Can you help me?
82,can you help me,zh,你能帮我吗？
83,can you help me,vi,Bạn có thể giúp tôi không?
84,can you help me,id,Bisa tolong saya?
85,where is the toilet,en,Where is the toilet?
86,where is the toilet,zh,厕所在哪里？
87,where is the toilet,vi,Nhà vệ sinh ở đâu?
88,where is the toilet,id,Toilet di mana?
89,i don’t understand,en,I don’t understand
90,i don’t understand,zh,我不明白
91,i don’t understand,vi,Tôi không hiểu
92,i don’t understand,id,Saya tidak mengerti
93,please speak slowly,en,Please speak slowly
94,please speak slowly,zh,请说慢一点
95,please speak slowly,vi,Làm ơn nói chậm lại
96,please speak slowly,id,Tolong bicara pelan-pelan
97,goodbye,en,Goodbye
98,goodbye,zh,再见
99,goodbye,vi,Tạm biệt
100,goodbye,id,Selamat tinggal
